class_name,crop,total_test_samples,true_positives,false_positives,false_negatives,precision,recall,f1_score,avg_confidence
Apple___Apple_scab,APPLE,0,0,0,0,0.0,0.0,0.0,0.0
Apple___Black_rot,APPLE,0,0,0,0,0.0,0.0,0.0,0.0
Apple___Cedar_apple_rust,APPLE,0,0,0,0,0.0,0.0,0.0,0.0
Apple___healthy,APPLE,0,0,0,0,0.0,0.0,0.0,0.0
Blueberry___healthy,BLUEBERRY,0,0,0,0,0.0,0.0,0.0,0.0
Cherry_(including_sour)___Powdery_mildew,CHERRY,0,0,0,0,0.0,0.0,0.0,0.0
Cherry_(including_sour)___healthy,CHERRY,0,0,0,0,0.0,0.0,0.0,0.0
Corn_(maize)___Cercospora_leaf_spot_Gray_leaf_spot,CORN,0,0,0,0,0.0,0.0,0.0,0.0
Corn_(maize)___Common_rust_,CORN,0,0,0,0,0.0,0.0,0.0,0.0
Corn_(maize)___Northern_Leaf_Blight,CORN,0,0,0,0,0.0,0.0,0.0,0.0
Corn_(maize)___healthy,CORN,0,0,0,0,0.0,0.0,0.0,0.0
Grape___Black_rot,GRAPE,0,0,0,0,0.0,0.0,0.0,0.0
Grape___Esca_(Black_Measles),GRAPE,0,0,0,0,0.0,0.0,0.0,0.0
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),GRAPE,0,0,0,0,0.0,0.0,0.0,0.0
Grape___healthy,GRAPE,0,0,0,0,0.0,0.0,0.0,0.0
Orange___Haunglongbing_(Citrus_greening),ORANGE,0,0,0,0,0.0,0.0,0.0,0.0
Peach___Bacterial_spot,PEACH,0,0,0,0,0.0,0.0,0.0,0.0
Peach___healthy,PEACH,0,0,0,0,0.0,0.0,0.0,0.0
"Pepper,_bell___Bacterial_spot",BELL_PEPPER,50,44,74,6,0.3729,0.88,0.5238,0.02
"Pepper,_bell___healthy",BELL_PEPPER,74,0,6,74,0.0,0.0,0.0,0.0296
Potato___Early_blight,POTATO,50,0,0,50,0.0,0.0,0.0,0.0459
Potato___Late_blight,POTATO,50,48,58,2,0.4528,0.96,0.6154,0.0487
Potato___healthy,POTATO,8,0,2,8,0.0,0.0,0.0,0.037
Raspberry___healthy,RASPBERRY,0,0,0,0,0.0,0.0,0.0,0.0
Soybean___healthy,SOYBEAN,0,0,0,0,0.0,0.0,0.0,0.0
Squash___Powdery_mildew,SQUASH,0,0,0,0,0.0,0.0,0.0,0.0
Strawberry___Leaf_scorch,STRAWBERRY,0,0,0,0,0.0,0.0,0.0,0.0
Strawberry___healthy,STRAWBERRY,0,0,0,0,0.0,0.0,0.0,0.0
Tomato___Bacterial_spot,TOMATO,107,13,204,94,0.0599,0.1215,0.0802,0.0713
Tomato___Early_blight,TOMATO,50,25,430,25,0.0549,0.5,0.099,0.06
Tomato___Late_blight,TOMATO,96,0,0,96,0.0,0.0,0.0,0.0612
Tomato___Leaf_Mold,TOMATO,48,0,0,48,0.0,0.0,0.0,0.0668
Tomato___Septoria_leaf_spot,TOMATO,89,12,27,77,0.3077,0.1348,0.1875,0.0687
Tomato___Spider_mites_Two-spotted_spider_mite,TOMATO,84,8,19,76,0.2963,0.0952,0.1441,0.0556
Tomato___Target_Spot,TOMATO,71,3,9,68,0.25,0.0423,0.0723,0.0539
Tomato___Yellow_Leaf_Curl_Virus,TOMATO,161,0,0,161,0.0,0.0,0.0,0.0655
Tomato___Tomato_mosaic_virus,TOMATO,19,0,0,19,0.0,0.0,0.0,0.0684
Tomato___healthy,TOMATO,80,4,51,76,0.0727,0.05,0.0593,0.064
